UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,ano,Unidade da Federação,Tipo,dado,escala
13,4124033,38,0.0,0.0,0.0,2017,Amazonas,Estado,srag,incidência
13,4124033,39,0.0,0.008396672747103207,0.0189050742396335,2017,Amazonas,Estado,srag,incidência
13,4124033,40,0.0,0.008535651862675131,0.019219787498498286,2017,Amazonas,Estado,srag,incidência
13,4124033,41,0.0,0.0,0.0,2017,Amazonas,Estado,srag,incidência
13,4124033,42,0.0,0.0041222150745408035,0.012250963966241812,2017,Amazonas,Estado,srag,incidência
13,4124033,43,0.0,0.0,0.0,2017,Amazonas,Estado,srag,incidência
13,4124033,44,0.0,0.008161512868208877,0.024351505945958918,2017,Amazonas,Estado,srag,incidência
13,4124033,45,0.0,0.004329704220990438,0.01287022161062823,2017,Amazonas,Estado,srag,incidência
13,4124033,46,0.0,0.0,0.0,2017,Amazonas,Estado,srag,incidência
13,4124033,47,0.0,0.0044063396614306685,0.01309900582461032,2017,Amazonas,Estado,srag,incidência
13,4124033,48,0.0,0.00418781563863746,0.012446723728518405,2017,Amazonas,Estado,srag,incidência
13,4124033,49,0.0,0.0041222150745408035,0.012250963966241812,2017,Amazonas,Estado,srag,incidência
13,4124033,50,0.0,0.0041222150745408035,0.012250963966241812,2017,Amazonas,Estado,srag,incidência
13,4124033,51,0.0,0.0045717086963184,0.01359280815255004,2017,Amazonas,Estado,srag,incidência
13,4124033,52,0.0,0.008921207063748549,0.020096596873746098,2017,Amazonas,Estado,srag,incidência
14,530879,1,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,2,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,3,0.0,0.03798080334527043,0.11665704182528967,2017,Roraima,Estado,srag,incidência
14,530879,4,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,5,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,6,0.0,0.03798080334527043,0.11665704182528967,2017,Roraima,Estado,srag,incidência
14,530879,7,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,8,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,9,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,10,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
14,530879,11,0.0,0.07674976063094219,0.17668986378706442,2017,Roraima,Estado,srag,incidência
14,530879,12,0.0,0.10918121836821726,0.2652080435054145,2017,Roraima,Estado,srag,incidência
14,530879,13,0.0,0.06892475909907159,0.21809870574814536,2017,Roraima,Estado,srag,incidência
14,530879,14,0.0,0.06892475909907159,0.21809870574814536,2017,Roraima,Estado,srag,incidência
14,530879,15,0.02221473870397217,0.11631998669813035,0.21908857847391872,2017,Roraima,Estado,srag,incidência
14,530879,16,0.0,0.0,0.0,2017,Roraima,Estado,srag,incidência
